condition_id,completion_time_s,inlet_velocity_m_s,inlet_temperature_K,cooling_wall_temperature_K,solid_heat_source_MW_m3,pressure_drop_Pa,outlet_temperature_K,outlet_minus_inlet_temperature_K,solid_maximum_temperature_K,solid_maximum_minus_cooling_wall_K,generated_power_W,net_outward_enthalpy_flow_W,net_outward_enthalpy_over_generated,external_fluid_conductive_heat_W,external_solid_conductive_heat_W,total_external_boundary_heat_W,total_external_boundary_heat_over_generated,reconstructed_energy_difference_W,boundary_heat_fallback_used,cooling_wall_heat_into_fluid_W,cooling_wall_heat_over_generated,cooling_wall_heat_direction,relative_mass_difference,relative_energy_difference
u0p15_T700_q6p85,200,0.15,700.0,635.0,6.85,20.175099999993108,673.7524565,-26.247543500000006,700.0489389,65.04893890000005,0.24395453,-0.0263666206,-0.10808006147703017,0.21756622965192016,-0.4878912047,-0.27032497504807984,-1.1080957383659973,-3.824448079836618e-06,False,-0.07464787965,-0.30599095515873387,fluid_to_wall,3.4060320767041748e-09,1.5676888967122757e-05
u0p15_T700_q8p85,200,0.15,700.0,635.0,8.85,20.328699999998207,678.302542,-21.697457999999983,702.3759139,67.3759139,0.31518213,-0.021367130800000023,-0.06779296402369012,0.18393633872267412,-0.5204882859,-0.33655194717732584,-1.0678014872776125,-2.686377325811229e-06,False,-0.07874463837,-0.24983852469681575,fluid_to_wall,2.4328769806146764e-09,8.523253922458195e-06
u0p15_T900_q4p85,200,0.15,900.0,635.0,4.85,19.832699999999022,741.1248026,-158.87519740000005,891.1520801,256.15208010000003,0.17272693,-0.13024890120000004,-0.7540740821364685,1.3895827551563,-1.692611746,-0.30302899084370005,-1.7543818491054062,-5.315964370000703e-05,False,-0.2734766549,-1.5832890383682499,fluid_to_wall,9.383992784673252e-09,3.8255831473651336e-05
u0p15_T900_q6p85,200,0.15,900.0,635.0,6.85,19.955100000006496,745.5658911,-154.43410889999996,891.7899906,256.7899906,0.24395453,-0.12657056569999997,-0.5188285116082901,1.3547531554065722,-1.725330191,-0.3705770355934279,-1.519041419699925,-5.1939893427943584e-05,False,-0.2776135579,-1.1379725471791813,fluid_to_wall,8.758384373130358e-09,3.8339009007487444e-05
u0p15_T900_q8p85,200,0.15,900.0,635.0,8.85,20.077600000004168,749.999356,-150.00064399999997,892.4279448,257.4279448,0.31518213,-0.1229042346,-0.3899467098594708,1.319914672265776,-1.758051675,-0.43813700273422396,-1.3901073729472668,-5.063813422395702e-05,False,-0.2817517871,-0.8939332540839164,fluid_to_wall,8.13277706093177e-09,3.836470287665392e-05
u0p20_T300_q4p85,200,0.2,300.0,635.0,4.85,33.20350000000326,518.5269909,218.5269909,634.9146033,-0.08539670000004662,0.17272693,0.683660406723,3.9580417872476517,-1.192131074786,1.703068004,0.510936929214,2.958061775393102,3.45249100008882e-06,False,0.2614306243,1.513548722830887,wall_to_fluid,5.786150947511351e-09,2.8960666097128443e-06
u0p20_T300_q6p85,200,0.2,300.0,635.0,6.85,33.61479999999574,522.978858,222.97885799999995,634.9180161,-0.0819838999999547,0.24395453,0.700699909145,2.872256191122993,-1.2168514820060001,1.673600486,0.45674900399399987,1.872271049830474,3.624848999850272e-06,False,0.2577902754,1.0567144434661655,wall_to_fluid,5.786131121356003e-09,2.97887544491021e-06
u0p20_T300_q8p85,200,0.2,300.0,635.0,8.85,34.02689999999711,527.4241298,227.42412979999995,634.9214354,-0.07856460000004972,0.31518213,0.7176500587250001,2.276937651017842,-1.241627655308,1.644099399,0.402471743692,1.2769497550257687,3.814966999859948e-06,False,0.2541446562,0.8063422129928495,wall_to_fluid,3.1276277332243268e-09,3.072553179329436e-06
u0p20_T500_q4p85,200,0.2,500.0,635.0,4.85,28.315600000001723,596.8872413,96.88724130000003,634.9709828,-0.02901719999999841,0.17272693,0.18781198219999995,1.087334686027245,-0.6603919027127,0.6754826335,0.015090730787300055,0.08736756212421569,5.678587300106397e-06,False,0.1089699641,0.6308799913250354,wall_to_fluid,7.819441665195431e-10,8.5988142446635e-06
u0p20_T500_q6p85,200,0.2,500.0,635.0,6.85,28.584600000001956,601.4281577,101.42815770000004,634.9746159,-0.02538409999999658,0.24395453,0.1975633886,0.8098369339565041,-0.6904287667795,0.6440438496,-0.046384917179499996,-0.1901375521885164,6.224220500006261e-06,False,0.1050497892,0.43061216858731827,wall_to_fluid,2.6064737925571947e-10,9.015007484463737e-06
u0p20_T500_q8p85,200,0.2,500.0,635.0,8.85,28.854000000006636,605.9604701,105.96047009999995,634.978253,-0.021747000000004846,0.31518213,0.2072706171,0.6576217284273065,-0.7204947156264,0.6125900043,-0.1079047113264,-0.34235669175279704,6.801573600001554e-06,False,0.1011267308,0.3208517272219716,wall_to_fluid,2.3458219712781057e-09,9.440143629767288e-06
u0p20_T700_q4p85,200,0.2,700.0,635.0,4.85,26.801500000001397,669.4678914,-30.532108600000015,699.1295231,64.12952310000003,0.17272693,-0.041451869999999946,-0.23998498670705226,0.24484940502079472,-0.4590319324,-0.2141825273792053,-1.2400065663136912,-3.727379205342718e-06,False,-0.07108348222,-0.41153676627032043,fluid_to_wall,3.284206724658115e-09,1.5223149939964758e-05
u0p20_T700_q6p85,200,0.2,700.0,635.0,6.85,27.00199999999313,673.9473724,-26.05262760000005,700.1608496,65.1608496,0.24395453,-0.034878198599999966,-0.1429700797111657,0.21230147001449087,-0.4911370938,-0.2788356237855091,-1.1429819474371272,-2.8951855091108314e-06,False,-0.07511454098,-0.307903858067321,fluid_to_wall,2.91929009681821e-09,1.1867725961745176e-05
u0p20_T700_q8p85,200,0.2,700.0,635.0,8.85,27.202799999999115,678.4187918,-21.581208199999992,702.4801677,67.48016770000004,0.31518213,-0.028329221999999987,-0.08988206913888165,0.17973664653222937,-0.5232500033,-0.3435133567677707,-1.0898884298033351,-2.0047677706802602e-06,False,-0.07914753185,-0.2511168125236034,fluid_to_wall,3.28419574333411e-09,6.360664453534406e-06
